,input,target
0, New and new technology has been introduced to the society .,New technology has been introduced to society .
1, New and new technology has been introduced to the society .,New technology has been introduced into the society .
2, New and new technology has been introduced to the society .,Newer and newer technology has been introduced into society .
3, New and new technology has been introduced to the society .,Newer and newer technology has been introduced to the society .
4, One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in richer countries will outweigh any rise in motorization levels in poorer countries .
5, One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .
6, One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .
7, One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .
8," Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , art , literature and history in order to stand out in society ."
9," Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society ."
10," Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , the arts , literature , and history in order to stand out in society ."
11," Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , arts , literature and history in order to stand out in society ."
12," While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive ."
13," While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show them some interesting sites in order to advertise their company to their family and friends , it is highly unlikely that the company will advertise the sites that were not included in the tour -- for example , due to entrance fees that would make the total package price overly expensive ."
14," While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show them some interesting sites in order for their customers to advertise their company to their family and friends , it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example , due to entrance fees that would make the total package price overly expensive ."
