input,target
correct the following sentence:  New and new technology has been introduced to the society .,New technology has been introduced to society .
correct the following sentence:  New and new technology has been introduced to the society .,New technology has been introduced into the society .
correct the following sentence:  New and new technology has been introduced to the society .,Newer and newer technology has been introduced into society .
correct the following sentence:  New and new technology has been introduced to the society .,Newer and newer technology has been introduced to the society .
correct the following sentence:  One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in richer countries will outweigh any rise in motorization levels in poorer countries .
correct the following sentence:  One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .
correct the following sentence:  One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .
correct the following sentence:  One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .
"correct the following sentence:  Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , art , literature and history in order to stand out in society ."
"correct the following sentence:  Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society ."
"correct the following sentence:  Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , the arts , literature , and history in order to stand out in society ."
"correct the following sentence:  Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , arts , literature and history in order to stand out in society ."
"correct the following sentence:  While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive ."
"correct the following sentence:  While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show them some interesting sites in order to advertise their company to their family and friends , it is highly unlikely that the company will advertise the sites that were not included in the tour -- for example , due to entrance fees that would make the total package price overly expensive ."
"correct the following sentence:  While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show them some interesting sites in order for their customers to advertise their company to their family and friends , it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example , due to entrance fees that would make the total package price overly expensive ."
"correct the following sentence:  While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends , it is highly unlikely , that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive .","While the travel company will most likely show their customers some interesting sites in order for them to advertise by word of mouth , it is highly unlikely that the company will tell them about sites that were not included in the tour -- for example , those with entrance fees that would make the total package price overly expensive ."
correct the following sentence:  Disadvantage is parking their car is very difficult .,A disadvantage is that parking their cars is very difficult .
correct the following sentence:  Disadvantage is parking their car is very difficult .,A disadvantage is that parking their car is very difficult .
correct the following sentence:  Disadvantage is parking their car is very difficult .,The disadvantage is that parking their car is very difficult .
correct the following sentence:  Disadvantage is parking their car is very difficult .,The disadvantage is that parking their car is very difficult .
correct the following sentence:  Bigger farming are use more chemical product and substance to feed fish .,Bigger farming is using more chemical products and substances to feed fish .
correct the following sentence:  Bigger farming are use more chemical product and substance to feed fish .,Big farming are using more chemical products and substances to feed fish .
correct the following sentence:  Bigger farming are use more chemical product and substance to feed fish .,Bigger farms are using more chemical products and substances to feed fish .
correct the following sentence:  Bigger farming are use more chemical product and substance to feed fish .,Bigger farms are using more chemical products and substances to feed fish .
"correct the following sentence:  Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
"correct the following sentence:  Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
"correct the following sentence:  Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
"correct the following sentence:  Forexample , My cousin is 12years old .","For example , my cousin is 12 years old ."
"correct the following sentence:  if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will only get some misunderstood idea about that article but not the original one ."
"correct the following sentence:  if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will get a mistaken idea about that article but not the intended idea ."
"correct the following sentence:  if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will get some misunderstood idea about the article instead of the original one ."
"correct the following sentence:  if it does , you will only get some misundrestood idea about that acticle but not the original one .","If it does , you will only get some misunderstood idea about that article but not the original one ."
"correct the following sentence:  Secondly , chimp can also present the capability for grammer which means it can demonstrate the ability to combine words and be able to use grammatical constructions .","Secondly , chimps are also capable of learning grammar , meaning they can demonstrate the ability to combine words and utilize grammatical constructions ."
